1.946,1.963,1.979,1.996,2.013,2.029,2.045,2.061,2.077,2.093,2.108,2.124,2.139,2.154,2.169,2.184,2.199,2.214,2.229,2.243,2.258
1.92,1.937,1.954,1.97,1.987,2.003,2.019,2.035,2.05,2.066,2.081,2.097,2.112,2.127,2.142,2.157,2.172,2.186,2.201,2.216,2.23
1.897,1.914,1.931,1.947,1.963,1.979,1.995,2.011,2.026,2.042,2.057,2.072,2.088,2.103,2.117,2.132,2.147,2.162,2.176,2.19,2.205
1.877,1.893,1.91,1.926,1.942,1.958,1.974,1.989,2.005,2.02,2.035,2.051,2.066,2.08,2.095,2.11,2.124,2.139,2.153,2.168,2.182
1.858,1.875,1.891,1.907,1.923,1.939,1.954,1.97,1.985,2.001,2.016,2.031,2.046,2.06,2.075,2.09,2.104,2.119,2.133,2.147,2.161
1.841,1.858,1.874,1.89,1.906,1.922,1.937,1.952,1.968,1.983,1.998,2.013,2.028,2.042,2.057,2.072,2.086,2.1,2.114,2.129,2.143
1.826,1.843,1.859,1.875,1.89,1.906,1.921,1.937,1.952,1.967,1.982,1.997,2.012,2.026,2.041,2.055,2.069,2.084,2.098,2.112,2.126
1.813,1.829,1.845,1.861,1.877,1.892,1.908,1.923,1.938,1.953,1.968,1.982,1.997,2.012,2.026,2.04,2.055,2.069,2.083,2.097,2.111
1.801,1.817,1.833,1.849,1.864,1.88,1.895,1.91,1.925,1.94,1.955,1.969,1.984,1.998,2.013,2.027,2.041,2.055,2.069,2.083,2.097
1.79,1.806,1.822,1.838,1.853,1.869,1.884,1.899,1.914,1.929,1.943,1.958,1.972,1.987,2.001,2.015,2.029,2.043,2.057,2.071,2.085
1.781,1.797,1.812,1.828,1.843,1.859,1.874,1.889,1.904,1.918,1.933,1.947,1.962,1.976,1.99,2.004,2.019,2.032,2.046,2.06,2.074
1.772,1.788,1.804,1.819,1.835,1.85,1.865,1.88,1.895,1.909,1.924,1.938,1.953,1.967,1.981,1.995,2.009,2.023,2.037,2.05,2.064
1.764,1.78,1.796,1.811,1.827,1.842,1.857,1.872,1.887,1.901,1.916,1.93,1.944,1.958,1.973,1.987,2,2.014,2.028,2.042,2.055
1.758,1.773,1.789,1.805,1.82,1.835,1.85,1.865,1.879,1.894,1.908,1.923,1.937,1.951,1.965,1.979,1.993,2.007,2.02,2.034,2.047
1.751,1.767,1.783,1.798,1.814,1.829,1.844,1.858,1.873,1.888,1.902,1.916,1.93,1.945,1.958,1.972,1.986,2,2.013,2.027,2.04
1.747,1.763,1.779,1.794,1.809,1.824,1.839,1.854,1.869,1.883,1.898,1.912,1.926,1.94,1.954,1.968,1.981,1.995,2.009,2.022,2.036
1.746,1.762,1.778,1.793,1.808,1.823,1.838,1.853,1.868,1.882,1.896,1.911,1.925,1.939,1.953,1.967,1.98,1.994,2.007,2.021,2.034
1.741,1.757,1.773,1.788,1.804,1.819,1.833,1.848,1.863,1.877,1.891,1.906,1.92,1.934,1.948,1.961,1.975,1.989,2.002,2.016,2.029
1.737,1.753,1.769,1.784,1.799,1.814,1.829,1.844,1.859,1.873,1.887,1.901,1.915,1.929,1.943,1.957,1.971,1.984,1.998,2.011,2.024
1.733,1.749,1.765,1.781,1.796,1.811,1.826,1.84,1.855,1.869,1.884,1.898,1.912,1.926,1.939,1.953,1.967,1.98,1.994,2.007,2.02
1.73,1.746,1.762,1.777,1.793,1.808,1.823,1.837,1.852,1.866,1.88,1.894,1.908,1.922,1.936,1.95,1.963,1.977,1.99,2.004,2.017
1.727,1.743,1.759,1.775,1.79,1.805,1.82,1.835,1.849,1.863,1.878,1.892,1.906,1.92,1.933,1.947,1.961,1.974,1.987,2.001,2.014
1.724,1.741,1.757,1.772,1.788,1.803,1.818,1.832,1.847,1.861,1.875,1.89,1.904,1.917,1.931,1.945,1.958,1.972,1.985,1.998,2.012
1.722,1.739,1.755,1.77,1.786,1.801,1.816,1.83,1.845,1.859,1.874,1.888,1.902,1.916,1.929,1.943,1.956,1.97,1.983,1.996,2.01
1.72,1.737,1.753,1.768,1.784,1.799,1.814,1.829,1.843,1.858,1.872,1.886,1.9,1.914,1.928,1.941,1.955,1.968,1.982,1.995,2.008
1.718,1.735,1.751,1.767,1.782,1.798,1.813,1.828,1.842,1.857,1.871,1.885,1.899,1.913,1.927,1.94,1.954,1.967,1.98,1.994,2.007
1.716,1.733,1.75,1.766,1.781,1.797,1.812,1.827,1.841,1.856,1.87,1.884,1.898,1.912,1.926,1.939,1.953,1.966,1.98,1.993,2.006
1.714,1.732,1.748,1.764,1.78,1.796,1.811,1.826,1.84,1.855,1.869,1.884,1.898,1.911,1.925,1.939,1.952,1.966,1.979,1.992,2.005
1.713,1.73,1.747,1.763,1.779,1.795,1.81,1.825,1.84,1.855,1.869,1.883,1.897,1.911,1.925,1.938,1.952,1.965,1.979,1.992,2.005
1.711,1.729,1.746,1.763,1.779,1.794,1.81,1.825,1.84,1.854,1.869,1.883,1.897,1.911,1.925,1.938,1.952,1.965,1.979,1.992,2.005
1.709,1.727,1.745,1.762,1.778,1.794,1.809,1.824,1.839,1.854,1.869,1.883,1.897,1.911,1.925,1.939,1.952,1.966,1.979,1.992,2.005
1.707,1.726,1.744,1.761,1.777,1.793,1.809,1.824,1.839,1.854,1.869,1.883,1.897,1.911,1.925,1.939,1.952,1.966,1.979,1.992,2.005
1.705,1.724,1.742,1.76,1.777,1.793,1.809,1.824,1.839,1.854,1.869,1.883,1.898,1.912,1.926,1.939,1.953,1.966,1.98,1.993,2.006
1.702,1.722,1.741,1.759,1.776,1.792,1.808,1.824,1.839,1.854,1.869,1.884,1.898,1.912,1.926,1.94,1.953,1.967,1.98,1.994,2.007
1.699,1.72,1.74,1.758,1.775,1.792,1.808,1.824,1.839,1.855,1.869,1.884,1.898,1.913,1.927,1.941,1.954,1.968,1.981,1.994,2.008
1.696,1.718,1.738,1.756,1.774,1.791,1.808,1.824,1.839,1.855,1.87,1.885,1.899,1.913,1.927,1.941,1.955,1.969,1.982,1.995,2.009
1.691,1.715,1.735,1.755,1.773,1.791,1.807,1.824,1.84,1.855,1.87,1.885,1.9,1.914,1.928,1.942,1.956,1.97,1.983,1.996,2.01
1.685,1.711,1.733,1.753,1.772,1.79,1.807,1.823,1.84,1.855,1.87,1.885,1.9,1.915,1.929,1.943,1.957,1.97,1.984,1.997,2.011
1.677,1.706,1.73,1.751,1.77,1.789,1.806,1.823,1.839,1.855,1.871,1.886,1.901,1.915,1.93,1.944,1.958,1.971,1.985,1.999,2.012
1.666,1.7,1.726,1.748,1.768,1.787,1.805,1.823,1.839,1.855,1.871,1.886,1.901,1.916,1.93,1.945,1.959,1.972,1.986,2,2.013
1.649,1.693,1.721,1.745,1.766,1.786,1.804,1.822,1.839,1.855,1.871,1.887,1.902,1.917,1.931,1.945,1.96,1.973,1.987,2.001,2.014
1.611,1.683,1.715,1.741,1.763,1.784,1.803,1.821,1.838,1.855,1.871,1.887,1.902,1.917,1.932,1.946,1.96,1.974,1.988,2.002,2.015
